user,place,total,last_point_datetime,day1_done,day2_done,day3_done,day4_done,day5_done,helping_day1,helping_day2,helping_day3,helping_day4,helping_day5,done_extra,friends_points
UMYNC6NCX,168,100.0,1567451303.0,100.0,,,,,0,0,0,0,0,0,0
UMZ291XGW,169,100.0,1567451235.0,100.0,,,,,0,0,0,0,0,0,0
UMGTEDG2F,170,100.0,1567451210.0,100.0,,,,,0,0,0,0,0,0,0
UG2S9FAJD,171,100.0,1567451169.0,100.0,,,,,0,0,0,0,0,0,0
UJAGM0741,172,100.0,1567451150.0,100.0,,,,,0,0,0,0,0,0,0
UCHE6V492,173,100.0,1567451073.0,100.0,,,,,0,0,0,0,0,0,0
UG17759EC,174,100.0,1567451059.0,100.0,,,,,0,0,0,0,0,0,0
UMF8YU0SF,175,100.0,1567451051.0,100.0,,,,,0,0,0,0,0,0,0
UG32JTVJ6,176,100.0,1567451045.0,100.0,,,,,0,0,0,0,0,0,0
UMC39AZM0,177,100.0,1567450971.0,100.0,,,,,0,0,0,0,0,0,0
UMVVA922H,178,100.0,1567450886.0,100.0,,,,,0,0,0,0,0,0,0
UG2BB8QE4,179,100.0,1567450726.0,100.0,,,,,0,0,0,0,0,0,0
UN0C5T4FQ,180,100.0,1567450661.0,100.0,,,,,0,0,0,0,0,0,0
UMTKJQNSG,181,100.0,1567450650.0,100.0,,,,,0,0,0,0,0,0,0
UG3R6CDRV,182,100.0,1567450645.0,100.0,,,,,0,0,0,0,0,0,0
UH1CDSYPP,183,100.0,1567450565.0,100.0,,,,,0,0,0,0,0,0,0
UJ33B7SLF,184,100.0,1567450552.0,100.0,,,,,0,0,0,0,0,0,0
UHG9GNG0H,185,100.0,1567450513.0,100.0,,,,,0,0,0,0,0,0,0
UMQEZ880H,186,100.0,1567450382.0,100.0,,,,,0,0,0,0,0,0,0
UG5GBHW0N,187,100.0,1567450330.0,100.0,,,,,0,0,0,0,0,0,0
UG3NW3AF5,188,100.0,1567450247.0,100.0,,,,,0,0,0,0,0,0,0
UMXLC142K,189,100.0,1567450243.0,100.0,,,,,0,0,0,0,0,0,0
UJ5FG7M1R,190,100.0,1567450212.0,100.0,,,,,0,0,0,0,0,0,0
UG3CGL8SJ,191,100.0,1567450189.0,100.0,,,,,0,0,0,0,0,0,0
UH24AD1LP,192,100.0,1567449872.0,100.0,,,,,0,0,0,0,0,0,0
UMYTFQZ5M,193,100.0,1567449846.0,100.0,,,,,0,0,0,0,0,0,0
UG29QQU3A,194,100.0,1567449589.0,100.0,,,,,0,0,0,0,0,0,0
UH20UTL90,195,100.0,1567449562.0,100.0,,,,,0,0,0,0,0,0,0
UJKGHRSRL,196,100.0,1567449391.0,100.0,,,,,0,0,0,0,0,0,0
UH1D5BKJP,197,100.0,1567449378.0,100.0,,,,,0,0,0,0,0,0,0
UG43BA8TC,198,100.0,1567449310.0,100.0,,,,,0,0,0,0,0,0,0
UG2FJT7G9,199,100.0,1567449247.0,100.0,,,,,0,0,0,0,0,0,0
UG1VBAB60,200,100.0,1567449243.0,100.0,,,,,0,0,0,0,0,0,0
UG3UDHKR8,201,100.0,1567449219.0,100.0,,,,,0,0,0,0,0,0,0
UH1AVPEG5,202,100.0,1567448886.0,100.0,,,,,0,0,0,0,0,0,0
UMPCVSTBK,203,100.0,1567448847.0,100.0,,,,,0,0,0,0,0,0,0
UG2R5N4V8,204,100.0,1567448823.0,100.0,,,,,0,0,0,0,0,0,0
UG4D8SB6J,205,100.0,1567448621.0,100.0,,,,,0,0,0,0,0,0,0
UHF35MYN8,206,100.0,1567448578.0,100.0,,,,,0,0,0,0,0,0,0
UHG8Y9TPG,207,100.0,1567448566.0,100.0,,,,,0,0,0,0,0,0,0
UMZ294362,208,100.0,1567448543.0,100.0,,,,,0,0,0,0,0,0,0
UH2TA37DM,209,100.0,1567447920.0,100.0,,,,,0,0,0,0,0,0,0
UH1B58UG7,210,100.0,1567447770.0,100.0,,,,,0,0,0,0,0,0,0
UG3TU7EGM,211,100.0,1567447745.0,100.0,,,,,0,0,0,0,0,0,0
UGYVD1WQ0,212,100.0,1567447590.0,100.0,,,,,0,0,0,0,0,0,0
UG51NE59V,213,100.0,1567447529.0,100.0,,,,,0,0,0,0,0,0,0
UHLPW09S8,214,100.0,1567447485.0,100.0,,,,,0,0,0,0,0,0,0
UG3QD3TQC,215,100.0,1567447387.0,100.0,,,,,0,0,0,0,0,0,0
UG20HT3S6,216,100.0,1567447257.0,100.0,,,,,0,0,0,0,0,0,0
UG4CHS3NK,217,100.0,1567447223.0,100.0,,,,,0,0,0,0,0,0,0
UH22THE2E,218,100.0,1567447204.0,100.0,,,,,0,0,0,0,0,0,0
UG193TWKA,219,100.0,1567447117.0,100.0,,,,,0,0,0,0,0,0,0
UG3C92E0Y,220,100.0,1567447055.0,100.0,,,,,0,0,0,0,0,0,0
UJ4V7CABD,221,100.0,1567446766.0,100.0,,,,,0,0,0,0,0,0,0
